iter	Logloss
0	0.6759307137
1	0.6584703172
2	0.6499876586
3	0.6377970975
4	0.623565361
5	0.610348702
6	0.5977286841
7	0.5811431565
8	0.5673273725
9	0.5546566023
10	0.5427893575
11	0.53272073
12	0.5202359196
13	0.506631657
14	0.4961290579
15	0.4832269898
16	0.4733427184
17	0.4638473603
18	0.4538768958
19	0.4465654288
20	0.4357988016
21	0.4259764325
22	0.4170200889
23	0.4042094061
24	0.3915578204
25	0.3835516671
26	0.376897493
27	0.3699963995
28	0.3603969119
29	0.351455844
30	0.3461330265
31	0.3383820238
32	0.3312291445
33	0.3284331795
34	0.3224314351
35	0.3174319236
36	0.3123780144
37	0.3059702605
38	0.2984542579
39	0.2929660874
40	0.288360269
41	0.2850661116
42	0.2778345952
43	0.2710889924
44	0.2655838826
45	0.2621146573
46	0.2574674181
47	0.253165809
48	0.2491151155
49	0.2464740309
50	0.2425072587
51	0.2374695824
52	0.2342980227
53	0.2288064217
54	0.2253565534
55	0.2205877566
56	0.2163987419
57	0.2131650697
58	0.2093685004
59	0.205935966
60	0.2023648862
61	0.2002530558
62	0.1961298314
63	0.1940016485
64	0.1913245914
65	0.1875585392
66	0.1841465865
67	0.1796364077
68	0.1758626324
69	0.1735447009
70	0.1696561443
71	0.1664423878
72	0.1629582847
73	0.1612906307
74	0.1588940644
75	0.1560943837
76	0.1540211011
77	0.1516143909
78	0.1498311146
79	0.1480573218
80	0.1452390153
81	0.1419648217
82	0.141282565
83	0.1391643093
84	0.1382475948
85	0.1356133381
86	0.1329262969
87	0.1314063285
88	0.1302359449
89	0.1278369147
90	0.1249341631
91	0.1224098618
92	0.1199655348
93	0.1178371604
94	0.1158440705
95	0.1149295875
96	0.1128492975
97	0.1116546946
98	0.1095860398
99	0.1086158083
100	0.1073057043
101	0.1064100186
102	0.1048709317
103	0.1041247086
104	0.1022987454
105	0.1009413921
106	0.09973844415
107	0.09918364575
108	0.09773258935
109	0.09631309802
110	0.09569289492
111	0.09414821581
112	0.09279775914
113	0.09123975384
114	0.09025765172
115	0.08912225702
116	0.08859063517
117	0.08730742222
118	0.0869673496
119	0.08584970616
120	0.08487651956
121	0.08336310626
122	0.08265975823
123	0.08170818015
124	0.08079417095
125	0.07980612315
126	0.07856430351
127	0.07729107179
128	0.07610604371
129	0.07542226079
130	0.07425655136
131	0.07314272705
132	0.07210911376
133	0.07118212327
134	0.07039379102
135	0.06935923505
136	0.06865330926
137	0.067809082
138	0.06735886681
139	0.06625090276
140	0.06583454493
141	0.06511297614
142	0.0638719215
143	0.06332905088
144	0.06245600538
145	0.06168626179
146	0.06125790929
147	0.06085854211
148	0.06032958987
149	0.05965898617
150	0.05941639997
151	0.05891788625
152	0.05844607502
153	0.05816026654
154	0.05763487411
155	0.0567559863
156	0.05573440348
157	0.05500219041
158	0.05417049177
159	0.0536400154
160	0.05333936947
161	0.052740058
162	0.05216538653
163	0.05178910763
164	0.05137745961
165	0.05114402007
166	0.05027442368
167	0.04994620174
168	0.04918640454
169	0.04868387616
170	0.04824067374
171	0.04801751482
172	0.04778897701
173	0.04742141107
174	0.04718552136
